drug,title,pmid,doi,journal,pub_year,model,direction,pos_hits,neg_hits,outcomes,abstract
(+)-physostigmine,Disruption of hippocampal neuronal circuit function depends upon behavioral state in the APP/PS1 mouse model of Alzheimer's disease.,36471155,10.1038/s41598-022-25364-2,,2022,animal,neutral,2,2,amyloid,"The Alzheimer's disease-associated peptide amyloid-beta (Aβ) has been associated with neuronal hyperactivity under anesthesia, but clinical trials of anticonvulsants or neural system suppressors have, so far, failed to improve symptoms in AD. Using simultaneous hippocampal calcium imaging and electrophysiology in freely moving mice expressing human Aβ, here we show that Aβ aggregates perturbed neural systems in a state-dependent fashion, driving neuronal hyperactivity in exploratory behavior and slow wave sleep (SWS), yet suppressing activity in quiet wakefulness (QW) and REM sleep. In exploratory behavior and REM sleep, Aβ impaired hippocampal theta-gamma phase-amplitude coupling and altered neuronal synchronization with theta. In SWS, Aβ reduced cortical slow oscillation (SO) power, the coordination of hippocampal sharp wave-ripples with both the SO and thalamocortical spindles, and the coordination of calcium transients with the sharp wave-ripple. Physostigmine improved Aβ-associated hyperactivity in exploratory behavior and hypoactivity in QW and expanded the range of gamma that coupled with theta phase, but exacerbated hypoactivity in exploratory behavior. Together, these findings show that the effects of Aβ alone on hippocampal circuit function are profoundly state dependent and suggest a reformulation of therapeutic strategies aimed at Aβ induced hyperexcitability."
(+)-physostigmine,Ranuncoside's attenuation of scopolamine-induced memory impairment in mice via Nrf2 and NF-ĸB signaling.,37533493,10.1016/j.jsps.2023.101702,,2023,animal,neutral,0,0,microglia;mitochondria;cognition,"Scopolamine is a well-known pharmacological agent responsible for causing memory impairment in animals, as well as oxidative stress and neuroinflammation inducer which lead to the development of Alzheimer disease. Although a cure for Alzheimer's disease is unavailable. Ranuncoside, a metabolite obtained from a medicinal plant has demonstrated antioxidant and anti-inflammatory properties in vitro, making it a promising treatment with potential anti-Alzheimer disease properties. However, as ranuncoside has not been evaluated for its antioxidant and anti-neuroinflammatory properties in any <i>in vivo</i> model, our study aimed to evaluate its neurotherapeutic efficacy against scopolamine-induced memory impairment in adult male albino mice. Mice were randomly divided into four experimental groups. Mice of group I was injected with saline, group II was injected with scopolamine (1 mg/kg/day) for 3 weeks. After receiving a daily injection of scopolamine for 1 week, the mice of group III were injected with ranuncoside (10 mg/kg) every other day for 2 weeks along with scopolamine daily and group IV were injected with ranuncoside on 5th alternate days. Behavioral tests (i.e., Morris water maze and Y-maze) were performed to determine the memory-enhancing effect of ranuncoside against scopolamine's memory deleterious effect. Western blot analysis was also performed to further elucidate the anti-neuroinflammatory and antioxidant effects of ranuncoside against scopolamine-induced neuroinflammation and oxidative stress. Our results showed memory-enhancing, anti-neuroinflammatory effect, and antioxidant effects of ranuncoside against scopolamine by increasing the expression of the endogenous antioxidant system (i.e., Nrf2 and HO-1), followed by blocking neuroinflammatory markers such as NF-κB, COX-2, and TNF-α. The results also revealed that ranuncoside possesses hypoglycemic and hypolipidemic effects against scopolamine-induced hyperglycemia and hyperlipidemia in mice as well as scopolamine's hyperglycemic effect. In conclusion, our findings suggest that ranuncoside could be a potential agent for the management of Alzheimer's disease, hyperglycemia, and hyperlipidemia."
(+)-physostigmine,Polydatin attenuates Alzheimer's disease induced by aluminum chloride in rats: evidence for its antioxidant and anti-inflammatory effects.,40313624,10.3389/fphar.2025.1574323,,2025,animal,neutral,1,1,amyloid;microglia;cognition,"<h4>Background</h4>Considering the complex pathophysiological mechanisms behind Alzheimer's disease (AD), a few drugs for managing related cognitive symptoms have been approved. The phytochemical resveratrol has shown promising anti-inflammatory and antioxidant effects in AD, but it has low bioavailability. Chemical modification of resveratrol to its glycosylated form, polydatin (PD), significantly increases its bioavailability and bioactivity.<h4>Purpose</h4>The study aimed to investigate the therapeutic potential and mechanisms of action of PD against AD in rats.<h4>Material and method</h4>AD was caused by an intraperitoneal (i.p.) administration of aluminum chloride (AlCl<sub>3</sub>). Six groups of six rats each were defined as sham, negative control (AlCl<sub>3</sub>), positive control (Donepezil), and treatments (PD 5, 10, and 20 mg/kg, i.p.). On days 7, 8, 14, and 15, the rats' behavioral changes were assessed by the open field, Y-maze test, passive avoidance test, and elevated plus maze tests. At the end of the study, the blood samples were collected to assess the levels of glutathione (GSH), catalase (CAT), and nitrite, as well as the activity of matrix metalloproteinases (MMPs). Furthermore, hippocampal brain tissue was removed and used for histological investigations.<h4>Results and discussion</h4>The findings revealed that PD injections at three different doses (5, 10, and 20 mg/kg) improved cognitive and other behavioral impairments. Furthermore, PD improved the antioxidant capacity by increasing GSH and CAT while decreasing serum nitrite levels. PD showed anti-inflammatory effects by reducing the activity of inflammatory MMP-9, while elevating the activity of anti-inflammatory MMP-2. PD also modulated pathogenic changes in the hippocampal brain tissue.<h4>Conclusion</h4>PD alleviated cognitive and other behavioral impairments in AD rats by enhancing antioxidant defenses and reducing neuroinflammation."
(+)-terbutaline,Opposing interictal dynamics in Alzheimer's disease and epilepsy.,41192537,10.1016/j.pneurobio.2025.102844,,2025,animal,neutral,0,0,mitochondria,"Advanced EEG technology has revealed that epileptiform activity occurs more frequently in Alzheimer's disease (AD) than previously recognized, prompting debate over the utility of EEG in AD diagnostics. Yet, unlike epilepsy, epileptiform activity is not always observed in AD, leading to skepticism. Historically, this absence has been attributed to limited recording depth or insufficient recording duration. We tested an alternative hypothesis that certain types of epileptiform activity, specifically high frequency oscillations (HFOs, defined as 250-500 Hz fast ripples), inhibit interictal spikes (IIS), which are currently used to assess hyperexcitability clinically. We recorded wideband (0.1-500 Hz) hippocampal local field potentials in three AD (Tg2576, Presenilin 2<sup>-/-</sup>, Ts65Dn Down syndrome model) and two epilepsy (intrahippocampal kainic acid, pilocarpine) mouse models during wakefulness and sleep. In both AD and epilepsy, HFOs consistently outnumbered IIS across behavioral states, age and recording contact. However, IIS and HFOs showed divergent relationships: a negative correlation between their rates was observed only in AD, in contrast to a positive correlation in epilepsy. HFOs preceded IIS at much shorter intervals in epilepsy than in AD. Co-occurrence of IIS with ripples did not differ between AD and epilepsy. These findings reveal a novel dissociation between clinically-relevant EEG biomarkers in AD and epilepsy. In AD, HFOs may inhibit IIS, which could lead to underestimation of hyperexcitability and hinder patient stratification for anti-seizure therapies. While non-invasive HFO detection remains challenging, we stress the need for wideband EEG/MEG, particularly in AD, to assess the full extent of hyperexcitability and biomarker interactions that would otherwise remain undetected."
(+)-terbutaline,High-frequency oscillations (250-500 Hz) in animal models of Alzheimer's disease and two animal models of epilepsy.,36346209,10.1111/epi.17462,,2023,animal,neutral,0,0,amyloid,"<h4>Objective</h4>To test the hypothesis that high-frequency oscillations (HFOs) between 250 and 500 Hz occur in mouse models of Alzheimer's disease (AD) and thus are not unique to epilepsy.<h4>Methods</h4>Experiments were conducted in three mouse models of AD: Tg2576 mice that simulate a form of familial AD, presenilin 2 knock-out (PS2KO) mice, and the Ts65Dn model of Down's syndrome. We recorded HFOs using wideband (0.1-500 Hz, 2 kHz) intra-hippocampal and cortical surface electroencephalography (EEG) at 1 month until 24 months of age during wakefulness, slow wave sleep (SWS), and rapid eye movement (REM) sleep. In addition, interictal spikes (IISs) and seizures were analyzed for the possible presence of HFOs. Comparisons were made to the intra-hippocampal kainic acid and pilocarpine models of epilepsy.<h4>Results</h4>We describe for the first time that hippocampal and cortical HFOs are a new EEG abnormality in AD mouse models. HFOs occurred in all transgenic mice but no controls. They were also detectable as early as 1 month of age and prior to amyloid beta plaque neuropathology. HFOs were most frequent during SWS (vs REM sleep or wakefulness). Notably, HFOs in the AD and epilepsy models were indistinguishable in both spectral frequency and duration. HFOs also occurred during IISs and seizures in the AD models, although with altered spectral properties compared to isolated HFOs.<h4>Significance</h4>Our data demonstrate that HFOs, an epilepsy biomarker with high translational value, are not unique to epilepsy and thus not disease specific. Our findings also strengthen the idea of hyperexcitability in AD and its significant overlap with epilepsy. HFOs in AD mouse models may serve as an EEG biomarker, which is detectable from the scalp and thus amenable to noninvasive detection in people at risk for AD."
(+)-terbutaline,Harnessing endophenotypes and network medicine for Alzheimer's drug repurposing.,32656864,10.1002/med.21709,,2020,human_observational,neutral,0,0,amyloid;tau;microglia;mitochondria,"Following two decades of more than 400 clinical trials centered on the ""one drug, one target, one disease"" paradigm, there is still no effective disease-modifying therapy for Alzheimer's disease (AD). The inherent complexity of AD may challenge this reductionist strategy. Recent observations and advances in network medicine further indicate that AD likely shares common underlying mechanisms and intermediate pathophenotypes, or endophenotypes, with other diseases. In this review, we consider AD pathobiology, disease comorbidity, pleiotropy, and therapeutic development, and construct relevant endophenotype networks to guide future therapeutic development. Specifically, we discuss six main endophenotype hypotheses in AD: amyloidosis, tauopathy, neuroinflammation, mitochondrial dysfunction, vascular dysfunction, and lysosomal dysfunction. We further consider how this endophenotype network framework can provide advances in computational and experimental strategies for drug-repurposing and identification of new candidate therapeutic strategies for patients suffering from or at risk for AD. We highlight new opportunities for endophenotype-informed, drug discovery in AD, by exploiting multi-omics data. Integration of genomics, transcriptomics, radiomics, pharmacogenomics, and interactomics (protein-protein interactions) are essential for successful drug discovery. We describe experimental technologies for AD drug discovery including human induced pluripotent stem cells, transgenic mouse/rat models, and population-based retrospective case-control studies that may be integrated with multi-omics in a network medicine methodology. In summary, endophenotype-based network medicine methodologies will promote AD therapeutic development that will optimize the usefulness of available data and support deep phenotyping of the patient heterogeneity for personalized medicine in AD."
(+)-terbutaline,Impact of noradrenergic inhibition on neuroinflammation and pathophysiology in mouse models of Alzheimer's disease.,39696597,10.1186/s12974-024-03306-1,,2024,human_observational,positive,2,0,amyloid;microglia;mitochondria;cognition,"Norepinephrine (NE) modulates cognitive function, arousal, attention, and responses to novelty and stress, and it also regulates neuroinflammation. We previously demonstrated behavioral and immunomodulatory effects of beta-adrenergic pharmacology in mouse models of Alzheimer's disease (AD). The current studies were designed to block noradrenergic signaling in 5XFAD mice through (1) chemogenetic inhibition of the locus coeruleus (LC), (2) pharmacologic blocking of β-adrenergic receptors, and (3) conditional deletion of β1- or β2-adrenergic receptors (adrb1 or adrb2) in microglia.First, brain-wide AD pathology was mapped in 3D by imaging immunolabeled, cleared 5XFAD brains to assess the overlap between amyloid beta (Aβ) pathology, reactive microglia, and the loss of tyrosine hydroxylase (TH) expression in the catecholaminergic system. To examine the effects of inhibiting the LC NE system in the 5XFAD model, inhibitory (Gi) DREADD receptors were expressed specifically in LC NE neurons. LC NE neurons were chronically inhibited through the subcutaneous pump administration of the DREADD agonist clozapine-N-oxide (CNO). Plasma and brains were collected for assessment of neuroinflammation and pathology. A separate cohort of 5XFAD mice was chronically dosed with the beta-adrenergic antagonist propranolol or vehicle and evaluated for behavior, as well as post-mortem neuroinflammation and pathology. Finally, we used 5XFAD mice with conditional deletion of either adrb1 or adrb2 in microglia to assess neuroinflammation and pathology mediated by β-adrenergic signaling.Using iDISCO+, light sheet fluorescence microscopy, and novel analyses, we detected widespread microgliosis and Aβ pathology, along with modest TH downregulation in fibers across multiple brain regions, in contrast to the spatially limited TH downregulation observed in neurons. Both chemogenetic inhibition of LC adrenergic signaling and pharmacological inhibition of beta-adrenergic receptors potentiated neuroinflammation without altering Aβ pathology. Conditional deletion of adrb1 in microglia did not affect neuroinflammation. Conditional deletion of adrb2 in microglia attenuated inflammation and pathology in females but had no effect in males. Overall, these data support previous observations demonstrating the immunomodulatory effects of beta-adrenergic signaling in the pathophysiology of brain disorders and suggest that adrenergic receptors on cell types other than microglia, such as astrocytes, may mediate some of the disease-modifying effects of β-adrenergic agonists in the brain."
(+)-terbutaline,Multimodal single-cell/nucleus RNA sequencing data analysis uncovers molecular networks between disease-associated microglia and astrocytes with implications for drug repurposing in Alzheimer's disease.,33627474,10.1101/gr.272484.120,,2021,human_observational,positive,2,0,amyloid;microglia;mitochondria,"Because disease-associated microglia (DAM) and disease-associated astrocytes (DAA) are involved in the pathophysiology of Alzheimer's disease (AD), we systematically identified molecular networks between DAM and DAA to uncover novel therapeutic targets for AD. Specifically, we develop a network-based methodology that leverages single-cell/nucleus RNA sequencing data from both transgenic mouse models and AD patient brains, as well as drug-target network, metabolite-enzyme associations, the human protein-protein interactome, and large-scale longitudinal patient data. Through this approach, we find both common and unique gene network regulators between DAM (i.e., <i>PAK1</i>, <i>MAPK14</i>, and <i>CSF1R</i>) and DAA (i.e., <i>NFKB1</i>, <i>FOS</i>, and <i>JUN</i>) that are significantly enriched by neuro-inflammatory pathways and well-known genetic variants (i.e., <i>BIN1</i>). We identify shared immune pathways between DAM and DAA, including Th17 cell differentiation and chemokine signaling. Last, integrative metabolite-enzyme network analyses suggest that fatty acids and amino acids may trigger molecular alterations in DAM and DAA. Combining network-based prediction and retrospective case-control observations with 7.2 million individuals, we identify that usage of fluticasone (an approved glucocorticoid receptor agonist) is significantly associated with a reduced incidence of AD (hazard ratio [HR] = 0.86, 95% confidence interval [CI] 0.83-0.89, <i>P</i> < 1.0 × 10<sup>-8</sup>). Propensity score-stratified cohort studies reveal that usage of mometasone (a stronger glucocorticoid receptor agonist) is significantly associated with a decreased risk of AD (HR = 0.74, 95% CI 0.68-0.81, <i>P</i> < 1.0 × 10<sup>-8</sup>) compared to fluticasone after adjusting age, gender, and disease comorbidities. In summary, we present a network-based, multimodal methodology for single-cell/nucleus genomics-informed drug discovery and have identified fluticasone and mometasone as potential treatments in AD."
(+)-terbutaline,"The prodrug of 7,8-dihydroxyflavone development and therapeutic efficacy for treating Alzheimer's disease.",29295929,10.1073/pnas.1718683115,,2018,animal,positive,2,0,amyloid;tau;synapse;cognition,"The BDNF mimetic compound 7,8-dihydroxyflavone (7,8-DHF), a potent small molecular TrkB agonist, displays prominent therapeutic efficacy against Alzheimer's disease (AD). However, 7,8-DHF has only modest oral bioavailability and a moderate pharmacokinetic (PK) profile. To alleviate these preclinical obstacles, we used a prodrug strategy for elevating 7,8-DHF oral bioavailability and brain exposure, and found that the optimal prodrug R13 has favorable properties and dose-dependently reverses the cognitive defects in an AD mouse model. We synthesized a large number of 7,8-DHF derivatives via ester or carbamate group modification on the catechol ring in the parent compound. Using in vitro absorption, distribution, metabolism, and excretion assays, combined with in vivo PK studies, we identified a prodrug, R13, that prominently up-regulates 7,8-DHF PK profiles. Chronic oral administration of R13 activated TrkB signaling and prevented Aβ deposition in 5XFAD AD mice, inhibiting the pathological cleavage of APP and Tau by AEP. Moreover, R13 inhibited the loss of hippocampal synapses and ameliorated memory deficits in a dose-dependent manner. These results suggest that the prodrug R13 is an optimal therapeutic agent for treating AD."
(+)-tetrahydropalmatine,Cerebralcare Granule® enhances memantine hydrochloride efficacy in APP/PS1 mice by ameliorating amyloid pathology and cognitive functions.,34183022,10.1186/s13020-021-00456-9,,2021,animal,positive,4,0,amyloid;microglia;mitochondria;synapse;cognition,"<h4>Background</h4>Alzheimer's disease (AD) is a progressive neurodegenerative disease characterized by memory deficits and cognitive decline. Current drugs can only relieve symptoms, but cannot really cure AD. Cerebralcare Granule® (CG) is a Traditional Chinese medicine (TCM) containing a variety of biologically active compounds. In our previous studies, CG has shown a beneficial effect against memory impairment in mice caused by D-galactose. However, whether CG can be used as a complementary medicine for the treatment of AD remains unexplored. Here, we use a combination of CG and memantine hydrochloride (Mm) to treat Alzheimer-like pathology and investigate the effects and mechanisms in vivo.<h4>Methods</h4>The histology of brain was examined with Hematoxylin-eosin (HE) staining, Golgi staining and Thioflavin S staining. ELISA was applied to assess the expression levels or activities of CAT, SOD, GSH-Px, MDA, alanine aminotransferase (ALT), aspartate aminotransferase (AST), alkaline phosphatase (ALP), total bilirubin (TBIL) in serum, as well as the levels of IL-6, IL-1β, and TNF-α in the mice brain. Western blotting was used to assess the expression of β-secretase (BACE1), amyloid precursor protein (APP), APPβ, APPα, synaptophysin (SYN), growth-associated protein 43 (GAP43), and postsynaptic density 95 (PSD95).<h4>Results</h4>In the present study, the combination group (CG + Mm) significantly attenuated Alzheimer-like behavior without adverse effects in APP/PS1 mice, indicating its high degree of safety and efficacy after long-term treatment. CG + Mm reduced AD pathological biomarker Aβ plaque accumulation by inhibiting BACE1 and APP expression (P < 0.05 or P < 0.001). Besides, the combination group markedly inhibited the levels of IL-1β, IL-6, and TNF-α in hippocampus (P < 0.001), as well as activities of SOD, CAT, and GSH-Px in serum (P < 0.001). By contrast, the combination group improved synaptic plasticity by enhancing SYN, PSD95, and GAP43 expression.<h4>Conclusions</h4>Taken together, these data supported the notion that CG combined with Mm might ameliorate the cognitive impairment through multiple pathways, suggesting that CG could play a role as complementary medicine to increase anti-AD effect of chemical drugs by reducing Aβ deposition, neuroinflammation, oxidative damage, and improving synaptic plasticity."
(+)-tetrahydropalmatine,Yuan-Hu Zhi Tong Prescription Mitigates Tau Pathology and Alleviates Memory Deficiency in the Preclinical Models of Alzheimer's Disease.,33192524,10.3389/fphar.2020.584770,,2020,animal,neutral,0,0,amyloid;tau;cognition,"Alzheimer's disease (AD) is characterized by memory dysfunction, Aβ plaques together with phosphorylated tau-associated neurofibrillary tangles. Unfortunately, the present existing drugs for AD only offer mild symptomatic cure and have more side effects. As such, developments of effective, nontoxic drugs are immediately required for AD therapy. Present study demonstrates a novel role of Chinese medicine prescription Yuan-Hu Zhi Tong (YZT) in treating AD, and it has substantiated the <i>in vivo</i> effectiveness of YZT in two different transgenic mice models of AD, namely P301S tau and 3XTg-AD mice. Oral treatment of YZT significantly ameliorates motor dysfunction as well as promotes the clearance of aggregated tau in P301S tau mice. YZT improves the cognitive function and reduces the insoluble tau aggregates in 3XTg-AD mice model. Furthermore, YZT decreases the insoluble AT8 positive neuron load in both P301S tau and 3XTg-AD mice. Using microarray and the ""Connectivity Map"" analysis, we determined the YZT-induced changes in expression of signaling molecules and revealed the potential mechanism of action of YZT. YZT might regulate ubiquitin proteasomal system for the degradation of tau aggregates. The research results show that YZT is a potential drug candidate for the therapy of tau pathogenesis and memory decline in AD."
(+)-tetrahydropalmatine,Evodiamine improves congnitive abilities in SAMP8 and APP(swe)/PS1(ΔE9) transgenic mouse models of Alzheimer's disease.,21278785,10.1038/aps.2010.230,,2011,animal,positive,1,0,amyloid;cognition,"<h4>Aim</h4>To investigate the effect of evodiamine (a quinolone alkaloid from the fruit of Evodia rutaecarpa) on the progression of Alzheimer's disease in SAMP8 and APP(swe)/PS1(ΔE9) transgenic mouse models.<h4>Methods</h4>The mice at age of 5 months were randomized into the model group, two evodiamine (50 mg·kg(-1)·d(-1) and 100 mg·kg(-1)·d(-1)) groups and an Aricept (2 mg·kg(-1)·d(-1)) group. The littermates of no-transgenic mice and senescence accelerated mouse/resistance 1 mice (SAMR1) were used as controls. After 4 weeks of treatment, learning abilities and memory were assessed using Morris water-maze test, and glucose uptake by the brain was detected using positron emission tomography/computed tomography (PET/CT). Expression levels of IL-1β, IL-6, and TNF-α in brain tissues were detected using ELISA. Expression of COX-2 protein was determined using Western blot.<h4>Results</h4>In Morris water-maze test, evodiamine (100 mg·kg(-1)·d(-1)) significantly alleviated the impairments of learning ability and memory. Evodiamine (100 mg·kg(-1)·d(-1)) also reversed the inhibition of glucose uptake due to development of Alzheimer's disease traits in mice. Furthermore, the dose of evodiamine significantly decreased the expression of IL-1β, IL-6, TNF-α, and COX-2 that were involved in the inflammation due to Alzheimer's disease.<h4>Conclusion</h4>The results indicate that evodiamine (100 mg·kg(-1)·d(-1)) improves cognitive abilities in the transgenic models of Alzheimer's disease."
(+)-tetrahydropalmatine,YXQN Reduces Alzheimer's Disease-Like Pathology and Cognitive Decline in APPswePS1dE9 Transgenic Mice.,28603494,10.3389/fnagi.2017.00157,,2017,animal,positive,3,0,amyloid;cognition,"Alzheimer's disease (AD) is the world's most common form of dementia, in which aggregation of amyloid-β (Aβ) is the hallmark. Unfortunately, few medicines have succeeded to completely cure AD. Yangxue Qingnao (YXQN) is a Chinese traditional medicine, and its pharmacological effect is improving cerebral blood flow. In this study, we firstly demonstrated that YXQN reduced AD-like pathology and cognitive impairment in APPswePS1dE9 (APP/PS1) mice with 2 months administration. Our data showed that YXQN substantially ameliorated behavioral defects in 10-month old APP/PS1 mice using Morris Water Maze and Y-maze tests, in which the cognitive ability of YXQN high-dose group approaches to wild type mice. Next, we focused on the brain pathological alterations in the YXQN group by three experiments, including thioflavin-S, congo-red, and Aβ-immunohistochemistry staining. The results demonstrated that the high-dose of YXQN dramatically suppressed amyloid plaques in the hippocampus and cortex of APP/PS1 mice, which showed a 47-72% reduction in plaque deposits, relative to the vehicle group. In addition, our data verified that YXQN decreased the cerebral amyloid load by attenuating β-secretase BACE1 and γ-secretase PS1 in the pathological processing of APP, and promoting the level of α-secretase ADAM10 in the physiological processing of APP to generate more sAPPα, which combats amyloidosis formation, and also carries out neurotropic and neuroprotective effect. Taken together, our results strongly suggest that YXQN could be a potential medicine for AD, and provide new evidence for further AD drug research and development."
(-)-camphor,&lt;i&gt;Foeniculum vulgare&lt;/i&gt; Mill. Mitigates Scopolamine-Induced Cognitive Deficits via Antioxidant and Neuroprotective Mechanisms in Zebrafish.,40649373,10.3390/molecules30132858,,2025,animal,positive,2,0,mitochondria;cognition,"<i>Foeniculum vulgare</i> Mill. (Apiaceae) is an aromatic medicinal plant known for its anti-inflammatory, antispasmodic, antiseptic, carminative, diuretic, and analgesic properties. This study aimed to investigate the effects of <i>F. vulgare</i> essential oil (FVEO; 25, 150, and 300 μL/L) on the cognitive performance and brain oxidative stress in a scopolamine (SCOP; 100 μM)-induced zebrafish model of cognitive impairment. Additionally, the pharmacokinetic properties and bioactivity profiles of the main FVEO constituents were predicted to be used in silico tools, including SwissADME, pkCSM, PASS online, and ADMETlab 2.0. Behavioral assays, novel tank diving test (NTT), Y-maze, and novel object recognition (NOR) test, were used to evaluate anxiety-like behavior, spatial memory, and recognition memory, respectively. Biochemical assessments of acetylcholinesterase (AChE) activity and oxidative stress biomarkers were also conducted. The results demonstrated that FVEO significantly improved cognitive performance in SCOP-treated zebrafish, normalized AChE activity, and reduced oxidative stress in the brain. These findings suggest the therapeutic potential of FVEO in ameliorating memory impairment and oxidative damage associated with neurodegenerative disorders such as Alzheimer's disease (AD)."
(-)-dizocilpine,Pro-cognitive effects of dual tacrine derivatives acting as cholinesterase inhibitors and NMDA receptor antagonists.,38823278,10.1016/j.biopha.2024.116821,,2024,animal,neutral,1,1,cognition,"Therapeutic options for Alzheimer's disease are limited. Dual compounds targeting two pathways concurrently may enable enhanced effect. The study focuses on tacrine derivatives inhibiting acetylcholinesterase (AChE) and simultaneously N-methyl-D-aspartate (NMDA) receptors. Compounds with balanced inhibitory potencies for the target proteins (K1578 and K1599) or increased potency for AChE (K1592 and K1594) were studied to identify the most promising pro-cognitive compound. Their effects were studied in cholinergic (scopolamine-induced) and glutamatergic (MK-801-induced) rat models of cognitive deficits in the Morris water maze. Moreover, the impacts on locomotion in the open field and AChE activity in relevant brain structures were investigated. The effect of the most promising compound on NMDA receptors was explored by in vitro electrophysiology. The cholinergic antagonist scopolamine induced a deficit in memory acquisition, however, it was unaffected by the compounds, and a deficit in reversal learning that was alleviated by K1578 and K1599. K1578 and K1599 significantly inhibited AChE in the striatum, potentially explaining the behavioral observations. The glutamatergic antagonist dizocilpine (MK-801) induced a deficit in memory acquisition, which was alleviated by K1599. K1599 also mitigated the MK-801-induced hyperlocomotion in the open field. In vitro patch-clamp corroborated the K1599-associated NMDA receptor inhibitory effect. K1599 emerged as the most promising compound, demonstrating pro-cognitive efficacy in both models, consistent with intended dual effect. We conclude that tacrine has the potential for development of derivatives with dual in vivo effects. Our findings contributed to the elucidation of the structural and functional properties of tacrine derivatives associated with optimal in vivo pro-cognitive efficacy."
(-)-dizocilpine,Procognitive activity of nitric oxide inhibitors and donors in animal models.,34896554,10.1016/j.niox.2021.12.003,,2022,animal,neutral,0,0,cognition,"Nitric oxide is a small gaseous molecule that plays important roles in the majority of biological functions. Impairments of NO-related pathways contribute to the majority of neurological disorders, such as Alzheimer's disease (AD), and mental disorders, such as schizophrenia. Cognitive decline is one of the most serious impairments accompanying both AD and schizophrenia. In the present study, the activities of NO donors, slow (spermine NONOate) or fast (DETANONOate) releasers, and selective inhibitor of neuronal nitric oxide synthase N(ω)-propyl-l-arginine (NPLA) were investigated in pharmacological models of schizophrenia and AD. Cognitive impairments were induced by administration of MK-801 or scopolamine and were measured in novel object recognition (NOR) and Y-maze tests. The compounds were investigated at doses of 0.05-0.5 mg/kg. The dose-dependent effectiveness of all the compounds was observed in the NOR test, while only the highest doses of spermine NONOate and NPLA were active in the Y-maze test. DETANONOate was not active in the Y-maze test. The impact of the investigated compounds on motor coordination was tested at doses of 0.5 and 1 mg/kg. Only NPLA at a dose of 1 mg/kg slightly disturbed motor coordination in animals."
(-)-dizocilpine,"CNEURO-201, an Anti-amyloidogenic Agent and σ1-Receptor Agonist, Improves Cognition in the &lt;i&gt;3xTg&lt;/i&gt; Mouse Model of Alzheimer's Disease by Multiple Actions in the Pathology.",39941068,10.3390/ijms26031301,,2025,animal,neutral,0,0,amyloid;cognition,"The complexity of Alzheimer's disease (AD) pathophysiology represents a significant challenge in the development of effective therapeutic agents for its treatment. CNEURO-201 (CN, also Amylovis-201) is a novel pharmaceutical agent with dual activity as an anti-amyloid-β (Aβ) agent and σ1 receptor agonist. CN exhibits great efficacy at very low doses, delaying cognitive impairment and alleviating Aβ load in animal models of AD. However, CN functions on other remains related to this pathology remain to be investigated. The present study sought to evaluate the effects of CN treatment at a dosage of 0.1 mg kg<sup>-1</sup> (p.o) over an eight-week period in the <i>3xTg</i>-AD mouse model. In silico studies, as well as biochemical and immunofluorescence assays, were conducted on brain tissue to investigate the CN effects on acetylcholine metabolism, redox system, and glial cell activation-related biomarkers in brain regions that are relevant for memory. The results demonstrated that CN effectively rescues cognitive impairment of <i>3xTg</i>-AD mice by influencing glial activity to reduce existing Aβ plaques but also modulating acetylcholine metabolism and the enzymatic response of proteins involved in the redox system. Our outcomes reinforced the potential of CN in treating AD by acting on multiple pathways altered in this disease."
(-)-dizocilpine,The Potent and Selective Histamine H3 Receptor Antagonist E169 Counteracts Cognitive Deficits and Mitigates Disturbances in the PI3K/AKT/GSK-3β Signaling Pathway in MK801-Induced Amnesia in Mice.,37628900,10.3390/ijms241612719,,2023,animal,positive,1,0,mitochondria;cognition,"The role of histamine H3 receptors (H3Rs) in memory and the prospective of H3R antagonists in pharmacological control of neurodegenerative disorders, e.g., Alzheimer's disease (AD), is well-accepted. Therefore, the procognitive effects of acute systemic administration of H3R antagonist E169 (2.5-10 mg/kg, i.p.) on MK801-induced amnesia in C57BL/6J mice using the novel object recognition test (NORT) were evaluated. E169 (5 mg) provided a significant memory-improving effect on MK801-induced short- and long-term memory impairments in NORT. The E169 (5 mg)-provided effects were comparable to those observed with the reference phosphatidylinositol 3-kinase (PI3K) inhibitor LY294002 and were abrogated with the H3R agonist (<i>R</i>)-α-methylhistamine (RAMH). Additionally, our results demonstrate that E169 ameliorated MK801-induced memory deficits by antagonism of H3Rs and by modulation of the level of disturbance in the expression of PI3K, Akt, and GSK-3β proteins, signifying that E169 mitigated the Akt-mTOR signaling pathway in the hippocampus of tested mice. Moreover, the results observed revealed that E169 (2.5-10 mg/kg, i.p.) did not alter anxiety levels and locomotor activity of animals in open field tests, demonstrating that performances improved following acute systemic administration with E169 in NORT are unrelated to changes in emotional response or in spontaneous locomotor activity. In summary, these obtained results suggest the potential of H3R antagonists such as E169, with good in silico physicochemical properties and stable retained key interactions in docking studies at H3R, in simultaneously modulating disturbed brain neurotransmitters and the imbalanced Akt-mTOR signaling pathway related to neurodegenerative disorders, e.g., AD."
